Nomor,Kategori/Kelompok Pemeriksaan,Nama Pemeriksaan,Permintaan/Hasil,Spesimen,Tipe hasil pemeriksaan,Satuan,Metode Analisis,Code,Display,Component,Property,Timing,System,Scale,Method,Example UCUM Units,Code System,Version First Released,Version Last Changed,Version First Released (DTO),Version Last Changed (DTO)
265,Mikrobiologi Klinik,Amikacin (Uji resistansi),Hasil,Isolat,OrdQn,,Minimum Inhibitory Concentration (MIC),12-5,Amikacin [Susceptibility] by Minimum inhibitory concentration (MIC),Amikacin,Susc,Pt,Isolate,OrdQn,MIC,,http://loinc.org,1.0,2.73,1.0,1.0
266,Mikrobiologi Klinik,Amoxicilin-clavulanic acid (Uji resistansi),Hasil,Isolat,OrdQn,,Disk diffusion,21-6,Amoxicillin+Clavulanate [Susceptibility] by Disk diffusion (KB),Amoxicillin+Clavulanate,Susc,Pt,Isolate,OrdQn,Agar diffusion,,http://loinc.org,1.0,2.73,1.0,1.0
267,Mikrobiologi Klinik,Amoxicilin-clavulanic acid (Uji resistansi),Hasil,Isolat,OrdQn,,Minimum Inhibitory Concentration (MIC),20-8,Amoxicillin+Clavulanate [Susceptibility] by Minimum inhibitory concentration (MIC),Amoxicillin+Clavulanate,Susc,Pt,Isolate,OrdQn,MIC,,http://loinc.org,1.0,2.73,1.0,1.0
268,Mikrobiologi Klinik,Ampicilin (Uji resistansi),Hasil,Isolat,OrdQn,,Disk diffusion,29-9,Ampicillin [Susceptibility] by Disk diffusion (KB),Ampicillin,Susc,Pt,Isolate,OrdQn,Agar diffusion,,http://loinc.org,1.0,2.73,1.0,1.0
269,Mikrobiologi Klinik,Ampicilin (Uji resistansi),Hasil,Isolat,OrdQn,,Minimum Inhibitory Concentration (MIC),28-1,Ampicillin [Susceptibility] by Minimum inhibitory concentration (MIC),Ampicillin,Susc,Pt,Isolate,OrdQn,MIC,ug/mL,http://loinc.org,1.0,2.73,1.0,1.0
270,Mikrobiologi Klinik,Ampicilin-sulbactam (Uji resistansi),Hasil,Isolat,OrdQn,,Disk diffusion,33-1,Ampicillin+Sulbactam [Susceptibility] by Disk diffusion (KB),Ampicillin+Sulbactam,Susc,Pt,Isolate,OrdQn,Agar diffusion,,http://loinc.org,1.0,2.73,1.0,1.0
271,Mikrobiologi Klinik,Ampicilin-sulbactam (Uji resistansi),Hasil,Isolat,OrdQn,,Minimum Inhibitory Concentration (MIC),32-3,Ampicillin+Sulbactam [Susceptibility] by Minimum inhibitory concentration (MIC),Ampicillin+Sulbactam,Susc,Pt,Isolate,OrdQn,MIC,,http://loinc.org,1.0,2.73,1.0,1.0
272,Mikrobiologi Klinik,Azitromycin (Uji resistansi),Hasil,Isolat,OrdQn,,Disk diffusion,37-2,Azithromycin [Susceptibility] by Disk diffusion (KB),Azithromycin,Susc,Pt,Isolate,OrdQn,Agar diffusion,,http://loinc.org,1.0,2.73,1.0,1.0
273,Mikrobiologi Klinik,Azitromycin (Uji resistansi),Hasil,Isolat,OrdQn,,Minimum Inhibitory Concentration (MIC),36-4,Azithromycin [Susceptibility] by Minimum inhibitory concentration (MIC),Azithromycin,Susc,Pt,Isolate,OrdQn,MIC,,http://loinc.org,1.0,2.73,1.0,1.0
274,Mikrobiologi Klinik,Aztreonam (Uji resistansi),Hasil,Isolat,OrdQn,,Disk diffusion,45-5,Aztreonam [Susceptibility] by Disk diffusion (KB),Aztreonam,Susc,Pt,Isolate,OrdQn,Agar diffusion,,http://loinc.org,1.0,2.73,1.0,1.0
275,Mikrobiologi Klinik,Aztreonam (Uji resistansi),Hasil,Isolat,OrdQn,,Minimum Inhibitory Concentration (MIC),44-8,Aztreonam [Susceptibility] by Minimum inhibitory concentration (MIC),Aztreonam,Susc,Pt,Isolate,OrdQn,MIC,ug/mL,http://loinc.org,1.0,2.73,1.0,1.0
276,Mikrobiologi Klinik,Cefazolin (Uji resistansi),Hasil,Isolat,OrdQn,,Disk diffusion,77-8,ceFAZolin [Susceptibility] by Disk diffusion (KB),ceFAZolin,Susc,Pt,Isolate,OrdQn,Agar diffusion,,http://loinc.org,1.0,2.73,1.0,1.0
277,Mikrobiologi Klinik,Cefazolin (Uji resistansi),Hasil,Isolat,OrdQn,,Minimum Inhibitory Concentration (MIC),76-0,ceFAZolin [Susceptibility] by Minimum inhibitory concentration (MIC),ceFAZolin,Susc,Pt,Isolate,OrdQn,MIC,,http://loinc.org,1.0,2.73,1.0,1.0
278,Mikrobiologi Klinik,Cefepime (Uji resistansi),Hasil,Isolat,OrdQn,,Disk diffusion,8272-7,Cefepime [Susceptibility] by Disk diffusion (KB),Cefepime,Susc,Pt,Isolate,OrdQn,Agar diffusion,,http://loinc.org,1.0h(2),2.73,1.0,1.0
279,Mikrobiologi Klinik,Cefepime (Uji resistansi),Hasil,Isolat,OrdQn,,Minimum Inhibitory Concentration (MIC),6644-9,Cefepime [Susceptibility] by Minimum inhibitory concentration (MIC),Cefepime,Susc,Pt,Isolate,OrdQn,MIC,,http://loinc.org,1.0g,2.73,1.0,1.0
280,Mikrobiologi Klinik,Cefotaxime (Uji resistansi),Hasil,Isolat,OrdQn,,Disk diffusion,55189-5,Cefotaxime [Susceptibility] for meningitis by Disk diffusion (KB),Cefotaxime,Susc,Pt,Isolate.meningitis,OrdQn,Agar diffusion,,http://loinc.org,2.27,2.58,1.0,1.0
281,Mikrobiologi Klinik,Cefotaxime (Uji resistansi),Hasil,Isolat,OrdQn,,Minimum Inhibitory Concentration (MIC),108-1,Cefotaxime [Susceptibility] by Minimum inhibitory concentration (MIC),Cefotaxime,Susc,Pt,Isolate,OrdQn,MIC,,http://loinc.org,1.0,2.73,1.0,1.0
282,Mikrobiologi Klinik,Cefoxitin (Uji resistansi),Hasil,Isolat,OrdQn,,Disk diffusion,117-2,cefOXitin [Susceptibility] by Disk diffusion (KB),cefOXitin,Susc,Pt,Isolate,OrdQn,Agar diffusion,,http://loinc.org,1.0,2.73,1.0,1.0
283,Mikrobiologi Klinik,Cefoxitin (Uji resistansi),Hasil,Isolat,OrdQn,,Minimum Inhibitory Concentration (MIC),116-4,cefOXitin [Susceptibility] by Minimum inhibitory concentration (MIC),cefOXitin,Susc,Pt,Isolate,OrdQn,MIC,,http://loinc.org,1.0,2.73,1.0,1.0
284,Mikrobiologi Klinik,Ceftazidime (Uji resistansi),Hasil,Isolat,OrdQn,,Disk diffusion,134-7,cefTAZidime [Susceptibility] by Disk diffusion (KB),cefTAZidime,Susc,Pt,Isolate,OrdQn,Agar diffusion,,http://loinc.org,1.0,2.73,1.0,1.0
285,Mikrobiologi Klinik,Ceftazidime (Uji resistansi),Hasil,Isolat,OrdQn,,Minimum Inhibitory Concentration (MIC),133-9,cefTAZidime [Susceptibility] by Minimum inhibitory concentration (MIC),cefTAZidime,Susc,Pt,Isolate,OrdQn,MIC,,http://loinc.org,1.0,2.73,1.0,1.0
286,Mikrobiologi Klinik,Ceftizoxime (Uji resistansi),Hasil,Isolat,OrdQn,,Disk diffusion,138-8,Ceftizoxime [Susceptibility] by Disk diffusion (KB),Ceftizoxime,Susc,Pt,Isolate,OrdQn,Agar diffusion,,http://loinc.org,1.0,2.73,1.0,1.0
287,Mikrobiologi Klinik,Ceftizoxime (Uji resistansi),Hasil,Isolat,OrdQn,,Minimum Inhibitory Concentration (MIC),137-0,Ceftizoxime [Susceptibility] by Minimum inhibitory concentration (MIC),Ceftizoxime,Susc,Pt,Isolate,OrdQn,MIC,,http://loinc.org,1.0,2.73,1.0,1.0
288,Mikrobiologi Klinik,Ceftriaxone (Uji resistansi),Hasil,Isolat,OrdQn,,Disk diffusion,141-2,cefTRIAXone [Susceptibility] by Minimum inhibitory concentration (MIC),cefTRIAXone,Susc,Pt,Isolate,OrdQn,MIC,,http://loinc.org,1.0,2.73,1.0,1.0
289,Mikrobiologi Klinik,Ceftriaxone (Uji resistansi),Hasil,Isolat,OrdQn,,Minimum Inhibitory Concentration (MIC),31140-7,cefTRIAXone [Susceptibility] for meningitis by Minimum inhibitory concentration (MIC),cefTRIAXone,Susc,Pt,Isolate.meningitis,OrdQn,MIC,,http://loinc.org,2.07,2.73,1.0,1.0
290,Mikrobiologi Klinik,Cefuroxime (Uji resistansi),Hasil,Isolat,OrdQn,,Disk diffusion,74699-0,Cefuroxime [Susceptibility] by Disk diffusion (KB),Cefuroxime,Susc,Pt,Isolate,OrdQn,Agar diffusion,,http://loinc.org,2.48,2.48,1.0,1.0
291,Mikrobiologi Klinik,Cefuroxime (Uji resistansi),Permintaan & Hasil,Isolat,OrdQn,,Minimum Inhibitory Concentration (MIC),51774-8,Cefuroxime [Susceptibility] by Minimum inhibitory concentration (MIC),Cefuroxime,Susc,Pt,Isolate,OrdQn,MIC,,http://loinc.org,2.24,2.73,1.0,1.0
292,Mikrobiologi Klinik,Chloramphenicol (Uji resistansi),Hasil,Isolat,OrdQn,,Disk diffusion,174-3,Chloramphenicol [Susceptibility] by Disk diffusion (KB),Chloramphenicol,Susc,Pt,Isolate,OrdQn,Agar diffusion,,http://loinc.org,1.0,2.73,1.0,1.0
293,Mikrobiologi Klinik,Chloramphenicol (Uji resistansi),Hasil,Isolat,OrdQn,,Minimum Inhibitory Concentration (MIC),173-5,Chloramphenicol [Susceptibility] by Minimum inhibitory concentration (MIC),Chloramphenicol,Susc,Pt,Isolate,OrdQn,MIC,ug/mL,http://loinc.org,1.0,2.73,1.0,1.0
294,Mikrobiologi Klinik,Ciprofloxacin (Uji resistansi),Hasil,Isolat,OrdQn,,Disk diffusion,186-7,Ciprofloxacin [Susceptibility] by Disk diffusion (KB),Ciprofloxacin,Susc,Pt,Isolate,OrdQn,Agar diffusion,,http://loinc.org,1.0,2.73,1.0,1.0
295,Mikrobiologi Klinik,Ciprofloxacin (Uji resistansi),Hasil,Isolat,OrdQn,,Minimum Inhibitory Concentration (MIC),185-9,Ciprofloxacin [Susceptibility] by Minimum inhibitory concentration (MIC),Ciprofloxacin,Susc,Pt,Isolate,OrdQn,MIC,,http://loinc.org,1.0,2.73,1.0,1.0
296,Mikrobiologi Klinik,Clindamycin (Uji resistansi),Hasil,Isolat,OrdQn,,Disk diffusion,194-1,Clindamycin [Susceptibility] by Disk diffusion (KB),Clindamycin,Susc,Pt,Isolate,OrdQn,Agar diffusion,,http://loinc.org,1.0,2.73,1.0,1.0
297,Mikrobiologi Klinik,Clindamycin (Uji resistansi),Hasil,Isolat,OrdQn,,Minimum Inhibitory Concentration (MIC),193-3,Clindamycin [Susceptibility] by Minimum inhibitory concentration (MIC),Clindamycin,Susc,Pt,Isolate,OrdQn,MIC,ug/mL,http://loinc.org,1.0,2.73,1.0,1.0
298,Mikrobiologi Klinik,Doripenem (Uji resistansi),Permintaan & Hasil,Isolat,OrdQn,,Disk diffusion,72893-1,Doripenem [Susceptibility] by Disk diffusion (KB),Doripenem,Susc,Pt,Isolate,OrdQn,Agar diffusion,,http://loinc.org,2.44,2.44,1.0,1.0
299,Mikrobiologi Klinik,Doripenem (Uji resistansi),Permintaan & Hasil,Isolat,OrdQn,,Minimum Inhibitory Concentration (MIC),56031-8,Doripenem [Susceptibility] by Minimum inhibitory concentration (MIC),Doripenem,Susc,Pt,Isolate,OrdQn,MIC,,http://loinc.org,2.29,2.73,1.0,1.0
300,Mikrobiologi Klinik,Ertapenem (Uji resistansi),Hasil,Isolat,OrdQn,,Disk diffusion,35799-6,Ertapenem [Susceptibility] by Disk diffusion (KB),Ertapenem,Susc,Pt,Isolate,OrdQn,Agar diffusion,,http://loinc.org,2.13,2.73,1.0,1.0
301,Mikrobiologi Klinik,Ertapenem (Uji resistansi),Hasil,Isolat,OrdQn,,Minimum Inhibitory Concentration (MIC),35801-0,Ertapenem [Susceptibility] by Minimum inhibitory concentration (MIC),Ertapenem,Susc,Pt,Isolate,OrdQn,MIC,,http://loinc.org,2.13,2.73,1.0,1.0
302,Mikrobiologi Klinik,Erythromycin (Uji resistansi),Hasil,Isolat,OrdQn,,Disk diffusion,234-5,Erythromycin [Susceptibility] by Disk diffusion (KB),Erythromycin,Susc,Pt,Isolate,OrdQn,Agar diffusion,,http://loinc.org,1.0,2.73,1.0,1.0
303,Mikrobiologi Klinik,Erythromycin (Uji resistansi),Hasil,Isolat,OrdQn,,Minimum Inhibitory Concentration (MIC),233-7,Erythromycin [Susceptibility] by Minimum inhibitory concentration (MIC),Erythromycin,Susc,Pt,Isolate,OrdQn,MIC,,http://loinc.org,1.0,2.73,1.0,1.0
304,Mikrobiologi Klinik,Gentamicin (Uji resistansi),Hasil,Isolat,OrdQn,,Disk diffusion,268-3,Gentamicin [Susceptibility] by Disk diffusion (KB),Gentamicin,Susc,Pt,Isolate,OrdQn,Agar diffusion,mm,http://loinc.org,1.0,2.73,1.0,1.0
305,Mikrobiologi Klinik,Gentamicin (Uji resistansi),Hasil,Isolat,OrdQn,,Minimum Inhibitory Concentration (MIC),267-5,Gentamicin [Susceptibility] by Minimum inhibitory concentration (MIC),Gentamicin,Susc,Pt,Isolate,OrdQn,MIC,ug/mL,http://loinc.org,1.0,2.73,1.0,1.0
306,Mikrobiologi Klinik,Imipenem (Uji resistansi),Hasil,Isolat,OrdQn,,Disk diffusion,280-8,Imipenem [Susceptibility] by Disk diffusion (KB),Imipenem,Susc,Pt,Isolate,OrdQn,Agar diffusion,,http://loinc.org,1.0,2.73,1.0,1.0
307,Mikrobiologi Klinik,Imipenem (Uji resistansi),Hasil,Isolat,OrdQn,,Minimum Inhibitory Concentration (MIC),279-0,Imipenem [Susceptibility] by Minimum inhibitory concentration (MIC),Imipenem,Susc,Pt,Isolate,OrdQn,MIC,,http://loinc.org,1.0,2.73,1.0,1.0
308,Mikrobiologi Klinik,Levofloxacin (Uji resistansi),Hasil,Isolat,OrdQn,,Disk diffusion,21367-8,levoFLOXacin [Susceptibility] by Disk diffusion (KB),levoFLOXacin,Susc,Pt,Isolate,OrdQn,Agar diffusion,,http://loinc.org,1.0m,2.73,1.0,1.0
309,Mikrobiologi Klinik,Levofloxacin (Uji resistansi),Hasil,Isolat,OrdQn,,Minimum Inhibitory Concentration (MIC),20396-8,levoFLOXacin [Susceptibility] by Minimum inhibitory concentration (MIC),levoFLOXacin,Susc,Pt,Isolate,OrdQn,MIC,,http://loinc.org,1.0m,2.73,1.0,1.0
310,Mikrobiologi Klinik,Linezolid (Uji resistansi),Hasil,Isolat,OrdQn,,Disk diffusion,29255-7,Linezolid [Susceptibility] by Disk diffusion (KB),Linezolid,Susc,Pt,Isolate,OrdQn,Agar diffusion,,http://loinc.org,2.03,2.73,1.0,1.0
311,Mikrobiologi Klinik,Linezolid (Uji resistansi),Hasil,Isolat,OrdQn,,Minimum Inhibitory Concentration (MIC),29254-0,Linezolid [Susceptibility] by Minimum inhibitory concentration (MIC),Linezolid,Susc,Pt,Isolate,OrdQn,MIC,,http://loinc.org,2.03,2.73,1.0,1.0
312,Mikrobiologi Klinik,Meropenem (Uji resistansi),Hasil,Isolat,OrdQn,,Disk diffusion,6653-0,Meropenem [Susceptibility] by Disk diffusion (KB),Meropenem,Susc,Pt,Isolate,OrdQn,Agar diffusion,,http://loinc.org,1.0g,2.73,1.0,1.0
313,Mikrobiologi Klinik,Meropenem (Uji resistansi),Hasil,Isolat,OrdQn,,Minimum Inhibitory Concentration (MIC),6652-2,Meropenem [Susceptibility] by Minimum inhibitory concentration (MIC),Meropenem,Susc,Pt,Isolate,OrdQn,MIC,,http://loinc.org,1.0g,2.73,1.0,1.0
314,Mikrobiologi Klinik,Minocycline (Uji resistansi),Hasil,Isolat,OrdQn,,Disk diffusion,336-8,Minocycline [Susceptibility] by Disk diffusion (KB),Minocycline,Susc,Pt,Isolate,OrdQn,Agar diffusion,,http://loinc.org,1.0,2.73,1.0,1.0
315,Mikrobiologi Klinik,Minocycline (Uji resistansi),Hasil,Isolat,OrdQn,,Minimum Inhibitory Concentration (MIC),335-0,Minocycline [Susceptibility] by Minimum inhibitory concentration (MIC),Minocycline,Susc,Pt,Isolate,OrdQn,MIC,,http://loinc.org,1.0,2.73,1.0,1.0
316,Mikrobiologi Klinik,Moxifloxacin (Uji resistansi),Hasil,Isolat,OrdQn,,Disk diffusion,31041-7,Moxifloxacin [Susceptibility] by Disk diffusion (KB),Moxifloxacin,Susc,Pt,Isolate,OrdQn,Agar diffusion,,http://loinc.org,2.05,2.73,1.0,1.0
317,Mikrobiologi Klinik,Moxifloxacin (Uji resistansi),Hasil,Isolat,OrdQn,,Minimum Inhibitory Concentration (MIC),31037-5,Moxifloxacin [Susceptibility] by Minimum inhibitory concentration (MIC),Moxifloxacin,Susc,Pt,Isolate,OrdQn,MIC,,http://loinc.org,2.05,2.73,1.0,1.0
318,Mikrobiologi Klinik,Nitrofurantoin (Uji resistansi),Hasil,Isolat,OrdQn,,Disk diffusion,364-0,Nitrofurantoin [Susceptibility] by Disk diffusion (KB),Nitrofurantoin,Susc,Pt,Isolate,OrdQn,Agar diffusion,,http://loinc.org,1.0,2.73,1.0,1.0
319,Mikrobiologi Klinik,Nitrofurantoin (Uji resistansi),Hasil,Isolat,OrdQn,,Minimum Inhibitory Concentration (MIC),363-2,Nitrofurantoin [Susceptibility] by Minimum inhibitory concentration (MIC),Nitrofurantoin,Susc,Pt,Isolate,OrdQn,MIC,,http://loinc.org,1.0,2.73,1.0,1.0
320,Mikrobiologi Klinik,Oxacilin (Uji resistansi),Hasil,Isolat,OrdQn,,Disk diffusion,384-8,Oxacillin [Susceptibility] by Disk diffusion (KB),Oxacillin,Susc,Pt,Isolate,OrdQn,Agar diffusion,,http://loinc.org,1.0,2.73,1.0,1.0
321,Mikrobiologi Klinik,Oxacilin (Uji resistansi),Hasil,Isolat,OrdQn,,Minimum Inhibitory Concentration (MIC),383-0,Oxacillin [Susceptibility] by Minimum inhibitory concentration (MIC),Oxacillin,Susc,Pt,Isolate,OrdQn,MIC,,http://loinc.org,1.0,2.73,1.0,1.0
322,Mikrobiologi Klinik,Piperacilin-taxobactam (Uji resistansi),Hasil,Isolat,OrdQn,,Disk diffusion,413-5,Piperacillin+Tazobactam [Susceptibility] by Disk diffusion (KB),Piperacillin+Tazobactam,Susc,Pt,Isolate,OrdQn,Agar diffusion,,http://loinc.org,1.0,2.73,1.0,1.0
323,Mikrobiologi Klinik,Piperacilin-taxobactam (Uji resistansi),Hasil,Isolat,OrdQn,,Minimum Inhibitory Concentration (MIC),412-7,Piperacillin+Tazobactam [Susceptibility] by Minimum inhibitory concentration (MIC),Piperacillin+Tazobactam,Susc,Pt,Isolate,OrdQn,MIC,,http://loinc.org,1.0,2.73,1.0,1.0
324,Mikrobiologi Klinik,Quinupristin-dalfopristin (Uji resistansi),Hasil,Isolat,OrdQn,,Disk diffusion,35835-8,Quinupristin+Dalfopristin [Susceptibility] by Disk diffusion (KB),Quinupristin+Dalfopristin,Susc,Pt,Isolate,OrdQn,Agar diffusion,,http://loinc.org,2.13,2.19,1.0,1.0
325,Mikrobiologi Klinik,Quinupristin-dalfopristin (Uji resistansi),Hasil,Isolat,OrdQn,,Minimum Inhibitory Concentration (MIC),23641-4,Quinupristin+Dalfopristin [Susceptibility] by Minimum inhibitory concentration (MIC),Quinupristin+Dalfopristin,Susc,Pt,Isolate,OrdQn,MIC,,http://loinc.org,1.0n,2.73,1.0,1.0
326,Mikrobiologi Klinik,Rifampicin (Uji resistansi),Hasil,Isolat,OrdQn,,Disk diffusion,429-1,rifAMPin [Susceptibility] by Disk diffusion (KB),rifAMPin,Susc,Pt,Isolate,OrdQn,Agar diffusion,,http://loinc.org,1.0,2.73,1.0,1.0
327,Mikrobiologi Klinik,Rifampicin (Uji resistansi),Hasil,Isolat,OrdQn,,Minimum Inhibitory Concentration (MIC),428-3,rifAMPin [Susceptibility] by Minimum inhibitory concentration (MIC),rifAMPin,Susc,Pt,Isolate,OrdQn,MIC,,http://loinc.org,1.0,2.73,1.0,1.0
328,Mikrobiologi Klinik,Tetracycline (Uji resistansi),Hasil,Isolat,OrdQn,,Disk diffusion,497-8,Tetracycline [Susceptibility] by Disk diffusion (KB),Tetracycline,Susc,Pt,Isolate,OrdQn,Agar diffusion,,http://loinc.org,1.0,2.73,1.0,1.0
329,Mikrobiologi Klinik,Tetracycline (Uji resistansi),Hasil,Isolat,OrdQn,,Minimum Inhibitory Concentration (MIC),496-0,Tetracycline [Susceptibility] by Minimum inhibitory concentration (MIC),Tetracycline,Susc,Pt,Isolate,OrdQn,MIC,,http://loinc.org,1.0,2.73,1.0,1.0
330,Mikrobiologi Klinik,Ticarcilin-clavulanic acid (Uji resistansi),Hasil,Isolat,OrdQn,,Disk diffusion,501-7,Ticarcillin [Susceptibility] by Disk diffusion (KB),Ticarcillin,Susc,Pt,Isolate,OrdQn,Agar diffusion,,http://loinc.org,1.0,2.73,1.0,1.0
331,Mikrobiologi Klinik,Ticarcilin-clavulanic acid (Uji resistansi),Hasil,Isolat,OrdQn,,Minimum Inhibitory Concentration (MIC),500-9,Ticarcillin [Susceptibility] by Minimum inhibitory concentration (MIC),Ticarcillin,Susc,Pt,Isolate,OrdQn,MIC,,http://loinc.org,1.0,2.73,1.0,1.0
332,Mikrobiologi Klinik,Tigecycline (Uji resistansi),Hasil,Isolat,OrdQn,,Disk diffusion,42356-6,Tigecycline [Susceptibility] by Disk diffusion (KB),Tigecycline,Susc,Pt,Isolate,OrdQn,Agar diffusion,,http://loinc.org,2.16,2.19,1.0,1.0
333,Mikrobiologi Klinik,Tigecycline (Uji resistansi),Hasil,Isolat,OrdQn,,Minimum Inhibitory Concentration (MIC),42355-8,Tigecycline [Susceptibility] by Minimum inhibitory concentration (MIC),Tigecycline,Susc,Pt,Isolate,OrdQn,MIC,,http://loinc.org,2.16,2.73,1.0,1.0
334,Mikrobiologi Klinik,Trimethoprim-sulphametoxazol (Uji resistansi),Hasil,Isolat,OrdQn,,Disk diffusion,517-3,Trimethoprim+Sulfamethoxazole [Susceptibility] by Disk diffusion (KB),Trimethoprim+Sulfamethoxazole,Susc,Pt,Isolate,OrdQn,Agar diffusion,,http://loinc.org,1.0,2.73,1.0,1.0
335,Mikrobiologi Klinik,Trimethoprim-sulphametoxazol (Uji resistansi),Hasil,Isolat,OrdQn,,Minimum Inhibitory Concentration (MIC),516-5,Trimethoprim+Sulfamethoxazole [Susceptibility] by Minimum inhibitory concentration (MIC),Trimethoprim+Sulfamethoxazole,Susc,Pt,Isolate,OrdQn,MIC,,http://loinc.org,1.0,2.73,1.0,1.0
336,Mikrobiologi Klinik,Vancomycin (Uji resistansi),Hasil,Isolat,OrdQn,,Disk diffusion,525-6,Vancomycin [Susceptibility] by Disk diffusion (KB),Vancomycin,Susc,Pt,Isolate,OrdQn,Agar diffusion,,http://loinc.org,1.0,2.73,1.0,1.0
337,Mikrobiologi Klinik,Vancomycin (Uji resistansi),Hasil,Isolat,OrdQn,,Minimum Inhibitory Concentration (MIC),524-9,Vancomycin [Susceptibility] by Minimum inhibitory concentration (MIC),Vancomycin,Susc,Pt,Isolate,OrdQn,MIC,,http://loinc.org,1.0,2.73,1.0,1.0
338,Mikrobiologi Klinik,Carbenicillin (Uji resistansi),Hasil,Isolat,OrdQn,,Disk diffusion,61-2,Carbenicillin [Susceptibility] by Disk diffusion (KB),Carbenicillin,Susc,Pt,Isolate,OrdQn,Agar diffusion,,http://loinc.org,1.0,2.73,1.0,1.0
339,Mikrobiologi Klinik,Carbenicillin (Uji resistansi),Hasil,Isolat,OrdQn,,Minimum Inhibitory Concentration (MIC),60-4,Carbenicillin [Susceptibility] by Minimum inhibitory concentration (MIC),Carbenicillin,Susc,Pt,Isolate,OrdQn,MIC,,http://loinc.org,1.0,2.19,1.0,1.0
340,Mikrobiologi Klinik,Cefactor (Uji resistansi),Hasil,Isolat,OrdQn,,Disk diffusion,85-1,Cefaclor [Susceptibility] by Disk diffusion (KB),Cefaclor,Susc,Pt,Isolate,OrdQn,Agar diffusion,,http://loinc.org,1.0,2.73,1.0,1.0
341,Mikrobiologi Klinik,Cefactor (Uji resistansi),Hasil,Isolat,OrdQn,,Minimum Inhibitory Concentration (MIC),84-4,Cefaclor [Susceptibility] by Minimum inhibitory concentration (MIC),Cefaclor,Susc,Pt,Isolate,OrdQn,MIC,,http://loinc.org,1.0,2.73,1.0,1.0
342,Mikrobiologi Klinik,Cefdinir (Uji resistansi),Hasil,Isolat,OrdQn,,Disk diffusion,35758-2,Cefdinir [Susceptibility] by Disk diffusion (KB),Cefdinir,Susc,Pt,Isolate,OrdQn,Agar diffusion,,http://loinc.org,2.13,2.19,1.0,1.0
343,Mikrobiologi Klinik,Cefdinir (Uji resistansi),Hasil,Isolat,OrdQn,,Minimum Inhibitory Concentration (MIC),23637-2,Cefdinir [Susceptibility] by Minimum inhibitory concentration (MIC),Cefdinir,Susc,Pt,Isolate,OrdQn,MIC,,http://loinc.org,1.0n,2.19,1.0,1.0
344,Mikrobiologi Klinik,Cefetamet (Uji resistansi),Hasil,Isolat,OrdQn,,Disk diffusion,35764-0,Cefetamet [Susceptibility] by Disk diffusion (KB),Cefetamet,Susc,Pt,Isolate,OrdQn,Agar diffusion,,http://loinc.org,2.13,2.19,1.0,1.0
345,Mikrobiologi Klinik,Cefetamet (Uji resistansi),Hasil,Isolat,OrdQn,,Minimum Inhibitory Concentration (MIC),35765-7,Cefetamet [Susceptibility] by Minimum inhibitory concentration (MIC),Cefetamet,Susc,Pt,Isolate,OrdQn,MIC,,http://loinc.org,2.13,2.19,1.0,1.0
346,Mikrobiologi Klinik,Cefixime (Uji resistansi),Hasil,Isolat,OrdQn,,Disk diffusion,81-0,Cefixime [Susceptibility] by Disk diffusion (KB),Cefixime,Susc,Pt,Isolate,OrdQn,Agar diffusion,,http://loinc.org,1.0,2.73,1.0,1.0
347,Mikrobiologi Klinik,Cefixime (Uji resistansi),Hasil,Isolat,OrdQn,,Minimum Inhibitory Concentration (MIC),80-2,Cefixime [Susceptibility] by Minimum inhibitory concentration (MIC),Cefixime,Susc,Pt,Isolate,OrdQn,MIC,,http://loinc.org,1.0,2.73,1.0,1.0
348,Mikrobiologi Klinik,Cefmetazole (Uji resistansi),Hasil,Isolat,OrdQn,,Disk diffusion,89-3,Cefmetazole [Susceptibility] by Disk diffusion (KB),Cefmetazole,Susc,Pt,Isolate,OrdQn,Agar diffusion,,http://loinc.org,1.0,2.19,1.0,1.0
349,Mikrobiologi Klinik,Cefmetazole (Uji resistansi),Hasil,Isolat,OrdQn,,Minimum Inhibitory Concentration (MIC),88-5,Cefmetazole [Susceptibility] by Minimum inhibitory concentration (MIC),Cefmetazole,Susc,Pt,Isolate,OrdQn,MIC,,http://loinc.org,1.0,2.19,1.0,1.0
350,Mikrobiologi Klinik,Cefonicid (Uji resistansi),Hasil,Isolat,OrdQn,,Disk diffusion,97-6,Cefonicid [Susceptibility] by Disk diffusion (KB),Cefonicid,Susc,Pt,Isolate,OrdQn,Agar diffusion,,http://loinc.org,1.0,2.73,1.0,1.0
351,Mikrobiologi Klinik,Cefonicid (Uji resistansi),Hasil,Isolat,OrdQn,,Minimum Inhibitory Concentration (MIC),96-8,Cefonicid [Susceptibility] by Minimum inhibitory concentration (MIC),Cefonicid,Susc,Pt,Isolate,OrdQn,MIC,,http://loinc.org,1.0,2.19,1.0,1.0
352,Mikrobiologi Klinik,Cefoperazone (Uji resistansi),Hasil,Isolat,OrdQn,,Disk diffusion,101-6,Cefoperazone [Susceptibility] by Disk diffusion (KB),Cefoperazone,Susc,Pt,Isolate,OrdQn,Agar diffusion,,http://loinc.org,1.0,2.73,1.0,1.0
