IDKategori,Nama Pemeriksaan,Permintaan/Hasil,Spesimen,Tipe hasil pemeriksaan,Satuan,Metode Analisis,Code,Display,Component,Property,Timing,System,Scale,Method,Unit of Measure,Code System
23,IgM Anti Varicella,Permintaan & Hasil,Serum,Quantitative,U/mL,,8048-1,Varicella zoster virus IgM Ab [Units/volume] in Serum,Varicella zoster virus Ab.IgM,ACnc,Pt,Ser,Qn,,[arb'U]/mL,http://loinc.org
23,IgM Anti Varicella,Permintaan & Hasil,Serum,Quantitative,U/mL,Immunoassay,5404-9,Varicella zoster virus IgM Ab [Units/volume] in Serum by Immunoassay,Varicella zoster virus Ab.IgM,ACnc,Pt,Ser,Qn,IA,[arb'U]/mL;{Index_val},http://loinc.org
23,Clostridium difficile Toxin A/B,Permintaan & Hasil,Feses,Quantitative,U/mL,Immunoassay,6363-6,Clostridioides difficile toxin A+B [Units/volume] in Stool by Immunoassay,Clostridioides difficile toxin A+B,ACnc,Pt,Stool,Qn,IA,[arb'U]/mL,http://loinc.org
23,Clostridium difficile GDH,Permintaan & Hasil,Feses,Ordinal,,,57901-1,Clostridioides difficile glutamate dehydrogenase [Presence] in Stool,Clostridioides difficile glutamate dehydrogenase,PrThr,Pt,Stool,Ord,,,http://loinc.org
23,Anti SARS CoV-2,Permintaan & Hasil,Serum,Ordinal,,Immunoassay,94547-7,SARS-CoV-2 (COVID-19) IgG+IgM Ab [Presence] in Serum or Plasma by Immunoassay,SARS coronavirus 2 Ab.IgG+IgM,PrThr,Pt,Ser/Plas,Ord,IA,,http://loinc.org
23,Clostridium difficile GDH,Permintaan & Hasil,Feses,Ordinal,,Immunoassay,83087-7,Clostridioides difficile glutamate dehydrogenase [Presence] in Stool by Immunoassay,Clostridioides difficile glutamate dehydrogenase,PrThr,Pt,Stool,Ord,IA,,http://loinc.org
23,Anti SARS CoV-2,Permintaan & Hasil,Serum,Quantitative,IU/mL,CMIA,94769-7,SARS-CoV-2 (COVID-19) Ab [Units/volume] in Serum or Plasma by Immunoassay,SARS coronavirus 2 Ab,ACnc,Pt,Ser/Plas,Qn,IA,[IU]/mL,http://loinc.org
23,Anti SARS CoV-2,Permintaan & Hasil,Serum,Quantitative,IU/mL,ECLIA,94769-7,SARS-CoV-2 (COVID-19) Ab [Units/volume] in Serum or Plasma by Immunoassay,SARS coronavirus 2 Ab,ACnc,Pt,Ser/Plas,Qn,IA,[IU]/mL,http://loinc.org
23,Clostridium difficile GDH,Permintaan & Hasil,Feses,Quantitative,,,X099148,Clostridium difficile GDH,,,Pt,Ser,Qn,,,http://terminology.kemkes.go.id/CodeSystem/examination
23,Clostridium difficile Toxin A/B,Permintaan & Hasil,Feses,Ordinal,,,34713-8,Clostridioides difficile toxin A+B [Presence] in Stool,Clostridioides difficile toxin A+B,PrThr,Pt,Stool,Ord,,,http://loinc.org
23,Anti SARS CoV-2,Permintaan & Hasil,Serum,Quantitative,IU/mL,CMIA,94769-7,SARS-CoV-2 (COVID-19) Ab [Units/volume] in Serum or Plasma by Immunoassay,SARS coronavirus 2 Ab,ACnc,Pt,Ser/Plas,Qn,IA,[IU]/mL,http://loinc.org
23,Clostridium difficile Toxin A/B,Permintaan & Hasil,Feses,Ordinal,,Immunoassay,34468-9,Clostridioides difficile toxin A+B [Presence] in Stool by Immunoassay,Clostridioides difficile toxin A+B,PrThr,Pt,Stool,Ord,IA,,http://loinc.org
23,Anti SARS CoV-2,Permintaan & Hasil,Serum,Quantitative,IU/mL,ECLIA,94769-7,SARS-CoV-2 (COVID-19) Ab [Units/volume] in Serum or Plasma by Immunoassay,SARS coronavirus 2 Ab,ACnc,Pt,Ser/Plas,Qn,IA,[IU]/mL,http://loinc.org
23,Clostridium difficile Toxin A/B,Permintaan & Hasil,Feses,Quantitative,U/mL,Immunoassay,6363-6,Clostridioides difficile toxin A+B [Units/volume] in Stool by Immunoassay,Clostridioides difficile toxin A+B,ACnc,Pt,Stool,Qn,IA,[arb'U]/mL,http://loinc.org
23,Anti SARS CoV-2 (POCT),Permintaan & Hasil,Plasma,Ordinal,,Immunochromatography (ICT),95542-7,"SARS-CoV-2 (COVID-19) Ab [Presence] in Serum, Plasma or Blood by Rapid immunoassay",SARS coronavirus 2 Ab,PrThr,Pt,Ser/Plas/Bld,Ord,IA.rapid,,http://loinc.org
23,Anti SARS CoV-2,Permintaan & Hasil,Serum,Ordinal,,Immunoassay,94547-7,SARS-CoV-2 (COVID-19) IgG+IgM Ab [Presence] in Serum or Plasma by Immunoassay,SARS coronavirus 2 Ab.IgG+IgM,PrThr,Pt,Ser/Plas,Ord,IA,,http://loinc.org
23,Anti SARS CoV-2 S-RBD kuantitatif,Hasil,Serum,Quantitative,IU/mL,CMIA,98734-7,SARS-CoV-2 (COVID-19) S protein RBD neutralizing antibody [Units/volume] in Serum or Plasma by Immunoassay,SARS coronavirus 2 spike protein RBD Ab.neut,ACnc,Pt,Ser/Plas,Qn,IA,[IU]/mL,http://loinc.org
23,Anti SARS CoV-2,Permintaan & Hasil,Serum,Quantitative,IU/mL,CMIA,94769-7,SARS-CoV-2 (COVID-19) Ab [Units/volume] in Serum or Plasma by Immunoassay,SARS coronavirus 2 Ab,ACnc,Pt,Ser/Plas,Qn,IA,[IU]/mL,http://loinc.org
23,Anti SARS CoV-2 S-RBD kuantitatif,Hasil,Serum,Quantitative,IU/mL,ECLIA,98734-7,SARS-CoV-2 (COVID-19) S protein RBD neutralizing antibody [Units/volume] in Serum or Plasma by Immunoassay,SARS coronavirus 2 spike protein RBD Ab.neut,ACnc,Pt,Ser/Plas,Qn,IA,[IU]/mL,http://loinc.org
23,Anti SARS CoV-2,Permintaan & Hasil,Serum,Quantitative,IU/mL,ECLIA,94769-7,SARS-CoV-2 (COVID-19) Ab [Units/volume] in Serum or Plasma by Immunoassay,SARS coronavirus 2 Ab,ACnc,Pt,Ser/Plas,Qn,IA,[IU]/mL,http://loinc.org
23,Anti SARS CoV-2 S-RBD titer,Permintaan & Hasil,Serum,Quantitative,IU/mL,ECLIA,98732-1,SARS-CoV-2 (COVID-19) S protein RBD neutralizing antibody [Titer] in Serum or Plasma by Immunoassay,SARS coronavirus 2 spike protein RBD Ab.neut,Titr,Pt,Ser/Plas,Qn,IA,{titer},http://loinc.org
23,Anti SARS CoV-2,Permintaan & Hasil,Serum,Quantitative,IU/mL,CMIA,94769-7,SARS-CoV-2 (COVID-19) Ab [Units/volume] in Serum or Plasma by Immunoassay,SARS coronavirus 2 Ab,ACnc,Pt,Ser/Plas,Qn,IA,[IU]/mL,http://loinc.org
23,Anti SARS CoV-2 S-RBD titer,Permintaan & Hasil,Serum,Quantitative,IU/mL,CMIA,98732-1,SARS-CoV-2 (COVID-19) S protein RBD neutralizing antibody [Titer] in Serum or Plasma by Immunoassay,SARS coronavirus 2 spike protein RBD Ab.neut,Titr,Pt,Ser/Plas,Qn,IA,{titer},http://loinc.org
23,IgG Anti SARS CoV-2,Permintaan & Hasil,Plasma,Ordinal,,Immunoassay,94563-4,SARS-CoV-2 (COVID-19) IgG Ab [Presence] in Serum or Plasma by Immunoassay,SARS coronavirus 2 Ab.IgG,PrThr,Pt,Ser/Plas,Ord,IA,,http://loinc.org
23,Anti SARS CoV-2,Permintaan & Hasil,Serum,Quantitative,IU/mL,ECLIA,94769-7,SARS-CoV-2 (COVID-19) Ab [Units/volume] in Serum or Plasma by Immunoassay,SARS coronavirus 2 Ab,ACnc,Pt,Ser/Plas,Qn,IA,[IU]/mL,http://loinc.org
23,IgG Anti SARS CoV-2,Permintaan & Hasil,Plasma,Ordinal,,Rapid immunoassay,94507-1,"SARS-CoV-2 (COVID-19) IgG Ab [Presence] in Serum, Plasma or Blood by Rapid immunoassay",SARS coronavirus 2 Ab.IgG,PrThr,Pt,Ser/Plas/Bld,Ord,IA.rapid,,http://loinc.org
23,Anti SARS CoV-2 (POCT),Permintaan & Hasil,Plasma,Ordinal,,Immunochromatography (ICT),95542-7,"SARS-CoV-2 (COVID-19) Ab [Presence] in Serum, Plasma or Blood by Rapid immunoassay",SARS coronavirus 2 Ab,PrThr,Pt,Ser/Plas/Bld,Ord,IA.rapid,,http://loinc.org
23,IgG Anti SARS CoV-2,Permintaan & Hasil,Serum,Quantitative,U/mL,Fluorescence immunoassay,94505-5,SARS-CoV-2 (COVID-19) IgG Ab [Units/volume] in Serum or Plasma by Immunoassay,SARS coronavirus 2 Ab.IgG,ACnc,Pt,Ser/Plas,Qn,IA,[arb'U]/mL,http://loinc.org
23,Anti SARS CoV-2 S-RBD kuantitatif,Hasil,Serum,Quantitative,IU/mL,CMIA,98734-7,SARS-CoV-2 (COVID-19) S protein RBD neutralizing antibody [Units/volume] in Serum or Plasma by Immunoassay,SARS coronavirus 2 spike protein RBD Ab.neut,ACnc,Pt,Ser/Plas,Qn,IA,[IU]/mL,http://loinc.org
23,IgG Anti SARS CoV-2,Permintaan & Hasil,Serum,Quantitative,U/mL,CMIA,94505-5,SARS-CoV-2 (COVID-19) IgG Ab [Units/volume] in Serum or Plasma by Immunoassay,SARS coronavirus 2 Ab.IgG,ACnc,Pt,Ser/Plas,Qn,IA,[arb'U]/mL,http://loinc.org
23,Anti SARS CoV-2 S-RBD kuantitatif,Hasil,Serum,Quantitative,IU/mL,ECLIA,98734-7,SARS-CoV-2 (COVID-19) S protein RBD neutralizing antibody [Units/volume] in Serum or Plasma by Immunoassay,SARS coronavirus 2 spike protein RBD Ab.neut,ACnc,Pt,Ser/Plas,Qn,IA,[IU]/mL,http://loinc.org
23,IgG Anti SARS CoV-2,Permintaan & Hasil,Serum,Quantitative,U/mL,CLIA,94505-5,SARS-CoV-2 (COVID-19) IgG Ab [Units/volume] in Serum or Plasma by Immunoassay,SARS coronavirus 2 Ab.IgG,ACnc,Pt,Ser/Plas,Qn,IA,[arb'U]/mL,http://loinc.org
23,Anti SARS CoV-2 S-RBD titer,Permintaan & Hasil,Serum,Quantitative,IU/mL,ECLIA,98732-1,SARS-CoV-2 (COVID-19) S protein RBD neutralizing antibody [Titer] in Serum or Plasma by Immunoassay,SARS coronavirus 2 spike protein RBD Ab.neut,Titr,Pt,Ser/Plas,Qn,IA,{titer},http://loinc.org
23,IgG Anti SARS CoV-2,Permintaan & Hasil,Serum,Quantitative,U/mL,Microfluidic immunoassay,94505-5,SARS-CoV-2 (COVID-19) IgG Ab [Units/volume] in Serum or Plasma by Immunoassay,SARS coronavirus 2 Ab.IgG,ACnc,Pt,Ser/Plas,Qn,IA,[arb'U]/mL,http://loinc.org
23,Anti SARS CoV-2 S-RBD titer,Permintaan & Hasil,Serum,Quantitative,IU/mL,CMIA,98732-1,SARS-CoV-2 (COVID-19) S protein RBD neutralizing antibody [Titer] in Serum or Plasma by Immunoassay,SARS coronavirus 2 spike protein RBD Ab.neut,Titr,Pt,Ser/Plas,Qn,IA,{titer},http://loinc.org
23,IgG Anti SARS CoV-2,Permintaan & Hasil,Serum,Quantitative,U/mL,Immunochromatography,94505-5,SARS-CoV-2 (COVID-19) IgG Ab [Units/volume] in Serum or Plasma by Immunoassay,SARS coronavirus 2 Ab.IgG,ACnc,Pt,Ser/Plas,Qn,IA,[arb'U]/mL,http://loinc.org
23,IgG Anti SARS CoV-2,Permintaan & Hasil,Plasma,Ordinal,,Immunoassay,94563-4,SARS-CoV-2 (COVID-19) IgG Ab [Presence] in Serum or Plasma by Immunoassay,SARS coronavirus 2 Ab.IgG,PrThr,Pt,Ser/Plas,Ord,IA,,http://loinc.org
23,IgG Anti SARS CoV-2,Permintaan & Hasil,Plasma,Ordinal,,Rapid immunoassay,94507-1,"SARS-CoV-2 (COVID-19) IgG Ab [Presence] in Serum, Plasma or Blood by Rapid immunoassay",SARS coronavirus 2 Ab.IgG,PrThr,Pt,Ser/Plas/Bld,Ord,IA.rapid,,http://loinc.org
23,IgM Anti SARS CoV-2,Permintaan & Hasil,Plasma,Ordinal,,Immunoassay,94564-2,SARS-CoV-2 (COVID-19) IgM Ab [Presence] in Serum or Plasma by Immunoassay,SARS coronavirus 2 Ab.IgM,PrThr,Pt,Ser/Plas,Ord,IA,,http://loinc.org
23,IgG Anti SARS CoV-2,Permintaan & Hasil,Serum,Quantitative,U/mL,Fluorescence immunoassay,94505-5,SARS-CoV-2 (COVID-19) IgG Ab [Units/volume] in Serum or Plasma by Immunoassay,SARS coronavirus 2 Ab.IgG,ACnc,Pt,Ser/Plas,Qn,IA,[arb'U]/mL,http://loinc.org
23,IgM Anti SARS CoV-2,Permintaan & Hasil,Plasma,Ordinal,,Rapid immunoassay,94508-9,"SARS-CoV-2 (COVID-19) IgM Ab [Presence] in Serum, Plasma or Blood by Rapid immunoassay",SARS coronavirus 2 Ab.IgM,PrThr,Pt,Ser/Plas/Bld,Ord,IA.rapid,,http://loinc.org
23,IgG Anti SARS CoV-2,Permintaan & Hasil,Serum,Quantitative,U/mL,CMIA,94505-5,SARS-CoV-2 (COVID-19) IgG Ab [Units/volume] in Serum or Plasma by Immunoassay,SARS coronavirus 2 Ab.IgG,ACnc,Pt,Ser/Plas,Qn,IA,[arb'U]/mL,http://loinc.org
23,IgM Anti SARS CoV-2,Permintaan & Hasil,Serum,Quantitative,U/mL,CMIA,94506-3,SARS-CoV-2 (COVID-19) IgM Ab [Units/volume] in Serum or Plasma by Immunoassay,SARS coronavirus 2 Ab.IgM,ACnc,Pt,Ser/Plas,Qn,IA,[arb'U]/mL,http://loinc.org
23,IgG Anti SARS CoV-2,Permintaan & Hasil,Serum,Quantitative,U/mL,CLIA,94505-5,SARS-CoV-2 (COVID-19) IgG Ab [Units/volume] in Serum or Plasma by Immunoassay,SARS coronavirus 2 Ab.IgG,ACnc,Pt,Ser/Plas,Qn,IA,[arb'U]/mL,http://loinc.org
23,IgM Anti SARS CoV-2,Permintaan & Hasil,Serum,Quantitative,U/mL,CLIA,94506-3,SARS-CoV-2 (COVID-19) IgM Ab [Units/volume] in Serum or Plasma by Immunoassay,SARS coronavirus 2 Ab.IgM,ACnc,Pt,Ser/Plas,Qn,IA,[arb'U]/mL,http://loinc.org
23,IgG Anti SARS CoV-2,Permintaan & Hasil,Serum,Quantitative,U/mL,Microfluidic immunoassay,94505-5,SARS-CoV-2 (COVID-19) IgG Ab [Units/volume] in Serum or Plasma by Immunoassay,SARS coronavirus 2 Ab.IgG,ACnc,Pt,Ser/Plas,Qn,IA,[arb'U]/mL,http://loinc.org
23,IgM Anti SARS CoV-2,Permintaan & Hasil,Serum,Quantitative,U/mL,Microfluidic Immunoassay,94506-3,SARS-CoV-2 (COVID-19) IgM Ab [Units/volume] in Serum or Plasma by Immunoassay,SARS coronavirus 2 Ab.IgM,ACnc,Pt,Ser/Plas,Qn,IA,[arb'U]/mL,http://loinc.org
23,IgG Anti SARS CoV-2,Permintaan & Hasil,Serum,Quantitative,U/mL,Immunochromatography,94505-5,SARS-CoV-2 (COVID-19) IgG Ab [Units/volume] in Serum or Plasma by Immunoassay,SARS coronavirus 2 Ab.IgG,ACnc,Pt,Ser/Plas,Qn,IA,[arb'U]/mL,http://loinc.org
23,IgM Anti SARS CoV-2,Permintaan & Hasil,Serum,Quantitative,U/mL,Immunochromatography,94506-3,SARS-CoV-2 (COVID-19) IgM Ab [Units/volume] in Serum or Plasma by Immunoassay,SARS coronavirus 2 Ab.IgM,ACnc,Pt,Ser/Plas,Qn,IA,[arb'U]/mL,http://loinc.org
23,IgM Anti SARS CoV-2,Permintaan & Hasil,Serum,Quantitative,U/mL,Fluorescence immunoassay,94506-3,SARS-CoV-2 (COVID-19) IgM Ab [Units/volume] in Serum or Plasma by Immunoassay,SARS coronavirus 2 Ab.IgM,ACnc,Pt,Ser/Plas,Qn,IA,[arb'U]/mL,http://loinc.org
23,IgM Anti SARS CoV-2,Permintaan & Hasil,Plasma,Ordinal,,Immunoassay,94564-2,SARS-CoV-2 (COVID-19) IgM Ab [Presence] in Serum or Plasma by Immunoassay,SARS coronavirus 2 Ab.IgM,PrThr,Pt,Ser/Plas,Ord,IA,,http://loinc.org
23,IgM Anti SARS CoV-2,Permintaan & Hasil,Plasma,Ordinal,,Rapid immunoassay,94508-9,"SARS-CoV-2 (COVID-19) IgM Ab [Presence] in Serum, Plasma or Blood by Rapid immunoassay",SARS coronavirus 2 Ab.IgM,PrThr,Pt,Ser/Plas/Bld,Ord,IA.rapid,,http://loinc.org
23,Antigen SARS-CoV-2,Permintaan & Hasil,Sekret,Ordinal,,,97097-0,SARS-CoV-2 (COVID-19) Ag [Presence] in Upper respiratory specimen by Rapid immunoassay,SARS coronavirus 2 Ag,PrThr,Pt,Respiratory.upper,Ord,IA.rapid,,http://loinc.org
23,IgG,Permintaan & Hasil,Serum,Quantitative,mg/dL,,2465-3,IgG [Mass/volume] in Serum or Plasma,IgG,MCnc,Pt,Ser/Plas,Qn,,mg/dL,http://loinc.org
23,IgM Anti SARS CoV-2,Permintaan & Hasil,Serum,Quantitative,U/mL,CMIA,94506-3,SARS-CoV-2 (COVID-19) IgM Ab [Units/volume] in Serum or Plasma by Immunoassay,SARS coronavirus 2 Ab.IgM,ACnc,Pt,Ser/Plas,Qn,IA,[arb'U]/mL,http://loinc.org
23,IgG,Permintaan & Hasil,Serum,Quantitative,mg/dL,Immunoturbidimetry,2465-3,IgG [Mass/volume] in Serum or Plasma,IgG,MCnc,Pt,Ser/Plas,Qn,,mg/dL,http://loinc.org
23,IgM Anti SARS CoV-2,Permintaan & Hasil,Serum,Quantitative,U/mL,CLIA,94506-3,SARS-CoV-2 (COVID-19) IgM Ab [Units/volume] in Serum or Plasma by Immunoassay,SARS coronavirus 2 Ab.IgM,ACnc,Pt,Ser/Plas,Qn,IA,[arb'U]/mL,http://loinc.org
23,IgG,Permintaan & Hasil,Serum,Quantitative,mg/dL,Nephelometry,2465-3,IgG [Mass/volume] in Serum or Plasma,IgG,MCnc,Pt,Ser/Plas,Qn,,mg/dL,http://loinc.org
23,IgM Anti SARS CoV-2,Permintaan & Hasil,Serum,Quantitative,U/mL,Microfluidic Immunoassay,94506-3,SARS-CoV-2 (COVID-19) IgM Ab [Units/volume] in Serum or Plasma by Immunoassay,SARS coronavirus 2 Ab.IgM,ACnc,Pt,Ser/Plas,Qn,IA,[arb'U]/mL,http://loinc.org
23,IgM,Permintaan & Hasil,Serum,Quantitative,mg/dL,,2472-9,IgM [Mass/volume] in Serum or Plasma,IgM,MCnc,Pt,Ser/Plas,Qn,,mg/dL,http://loinc.org
23,IgM Anti SARS CoV-2,Permintaan & Hasil,Serum,Quantitative,U/mL,Immunochromatography,94506-3,SARS-CoV-2 (COVID-19) IgM Ab [Units/volume] in Serum or Plasma by Immunoassay,SARS coronavirus 2 Ab.IgM,ACnc,Pt,Ser/Plas,Qn,IA,[arb'U]/mL,http://loinc.org
23,IgM,Permintaan & Hasil,Serum,Quantitative,mg/dL,Nephelometry,2472-9,IgM [Mass/volume] in Serum or Plasma,IgM,MCnc,Pt,Ser/Plas,Qn,,mg/dL,http://loinc.org
23,IgM Anti SARS CoV-2,Permintaan & Hasil,Serum,Quantitative,U/mL,Fluorescence immunoassay,94506-3,SARS-CoV-2 (COVID-19) IgM Ab [Units/volume] in Serum or Plasma by Immunoassay,SARS coronavirus 2 Ab.IgM,ACnc,Pt,Ser/Plas,Qn,IA,[arb'U]/mL,http://loinc.org
23,IgM,Permintaan & Hasil,Serum,Quantitative,mg/dL,Immunoturbidimetry,2472-9,IgM [Mass/volume] in Serum or Plasma,IgM,MCnc,Pt,Ser/Plas,Qn,,mg/dL,http://loinc.org
23,Antigen SARS-CoV-2,Permintaan & Hasil,Sekret,Ordinal,,,97097-0,SARS-CoV-2 (COVID-19) Ag [Presence] in Upper respiratory specimen by Rapid immunoassay,SARS coronavirus 2 Ag,PrThr,Pt,Respiratory.upper,Ord,IA.rapid,,http://loinc.org
23,IgA,Permintaan & Hasil,Serum,Quantitative,mg/dL,,2458-8,IgA [Mass/volume] in Serum or Plasma,IgA,MCnc,Pt,Ser/Plas,Qn,,mg/dL,http://loinc.org
23,IgG,Permintaan & Hasil,Serum,Quantitative,mg/dL,,2465-3,IgG [Mass/volume] in Serum or Plasma,IgG,MCnc,Pt,Ser/Plas,Qn,,mg/dL,http://loinc.org
23,IgA,Permintaan & Hasil,Serum,Quantitative,mg/dL,Immunoturbidimetry,2458-8,IgA [Mass/volume] in Serum or Plasma,IgA,MCnc,Pt,Ser/Plas,Qn,,mg/dL,http://loinc.org
23,IgG,Permintaan & Hasil,Serum,Quantitative,mg/dL,Immunoturbidimetry,2465-3,IgG [Mass/volume] in Serum or Plasma,IgG,MCnc,Pt,Ser/Plas,Qn,,mg/dL,http://loinc.org
23,IgA,Permintaan & Hasil,Serum,Quantitative,mg/dL,Nephelometry,2458-8,IgA [Mass/volume] in Serum or Plasma,IgA,MCnc,Pt,Ser/Plas,Qn,,mg/dL,http://loinc.org
23,IgG,Permintaan & Hasil,Serum,Quantitative,mg/dL,Nephelometry,2465-3,IgG [Mass/volume] in Serum or Plasma,IgG,MCnc,Pt,Ser/Plas,Qn,,mg/dL,http://loinc.org
23,Rose Wealer,Permintaan & Hasil,Serum,Quantitative,IU/mL,,11573-3,Rheumatoid factor IgM [Units/volume] in Serum,Rheumatoid factor.IgM,ACnc,Pt,Ser,Qn,,[IU]/mL,http://loinc.org
23,IgM,Permintaan & Hasil,Serum,Quantitative,mg/dL,,2472-9,IgM [Mass/volume] in Serum or Plasma,IgM,MCnc,Pt,Ser/Plas,Qn,,mg/dL,http://loinc.org
23,IgM,Permintaan & Hasil,Serum,Quantitative,mg/dL,Nephelometry,2472-9,IgM [Mass/volume] in Serum or Plasma,IgM,MCnc,Pt,Ser/Plas,Qn,,mg/dL,http://loinc.org
23,Rose Wealer,Permintaan & Hasil,Serum,Quantitative,IU/mL,Immunoassay,9338-5,Rheumatoid factor IgM [Units/volume] in Serum by Immunoassay,Rheumatoid factor.IgM,ACnc,Pt,Ser,Qn,IA,[IU]/mL,http://loinc.org
23,Anti CMV IgG - IgM,Permintaan & Hasil,Serum,Ordinal,,CMIA,22239-8,Cytomegalovirus Ab [Presence] in Serum or Plasma,Cytomegalovirus Ab,PrThr,Pt,Ser/Plas,Ord,,,http://loinc.org
23,IgM,Permintaan & Hasil,Serum,Quantitative,mg/dL,Immunoturbidimetry,2472-9,IgM [Mass/volume] in Serum or Plasma,IgM,MCnc,Pt,Ser/Plas,Qn,,mg/dL,http://loinc.org
23,IgG Anti CMV,Permintaan & Hasil,Serum,Ordinal,,,22244-8,Cytomegalovirus IgG Ab [Presence] in Serum or Plasma,Cytomegalovirus Ab.IgG,PrThr,Pt,Ser/Plas,Ord,,,http://loinc.org
23,IgA,Permintaan & Hasil,Serum,Quantitative,mg/dL,,2458-8,IgA [Mass/volume] in Serum or Plasma,IgA,MCnc,Pt,Ser/Plas,Qn,,mg/dL,http://loinc.org
23,IgA,Permintaan & Hasil,Serum,Quantitative,mg/dL,Immunoturbidimetry,2458-8,IgA [Mass/volume] in Serum or Plasma,IgA,MCnc,Pt,Ser/Plas,Qn,,mg/dL,http://loinc.org
23,IgG Anti CMV,Permintaan & Hasil,Serum,Quantitative,U/mL,,7852-7,Cytomegalovirus IgG Ab [Units/volume] in Serum or Plasma,Cytomegalovirus Ab.IgG,ACnc,Pt,Ser/Plas,Qn,,[arb'U]/mL,http://loinc.org
23,IgA,Permintaan & Hasil,Serum,Quantitative,mg/dL,Nephelometry,2458-8,IgA [Mass/volume] in Serum or Plasma,IgA,MCnc,Pt,Ser/Plas,Qn,,mg/dL,http://loinc.org
23,IgG Anti CMV,Permintaan & Hasil,Serum,Quantitative,U/mL,CMIA,5124-3,Cytomegalovirus IgG Ab [Units/volume] in Serum or Plasma by Immunoassay,Cytomegalovirus Ab.IgG,ACnc,Pt,Ser/Plas,Qn,IA,[arb'U]/mL,http://loinc.org
23,Rose Wealer,Permintaan & Hasil,Serum,Quantitative,IU/mL,,11573-3,Rheumatoid factor IgM [Units/volume] in Serum,Rheumatoid factor.IgM,ACnc,Pt,Ser,Qn,,[IU]/mL,http://loinc.org
23,IgG Anti CMV,Permintaan & Hasil,Serum,Quantitative,U/mL,ECLIA,5124-3,Cytomegalovirus IgG Ab [Units/volume] in Serum or Plasma by Immunoassay,Cytomegalovirus Ab.IgG,ACnc,Pt,Ser/Plas,Qn,IA,[arb'U]/mL,http://loinc.org
23,IgG Anti CMV,Permintaan & Hasil,Serum,Quantitative,U/mL,ELFA,5124-3,Cytomegalovirus IgG Ab [Units/volume] in Serum or Plasma by Immunoassay,Cytomegalovirus Ab.IgG,ACnc,Pt,Ser/Plas,Qn,IA,[arb'U]/mL,http://loinc.org
23,Rose Wealer,Permintaan & Hasil,Serum,Quantitative,IU/mL,Immunoassay,9338-5,Rheumatoid factor IgM [Units/volume] in Serum by Immunoassay,Rheumatoid factor.IgM,ACnc,Pt,Ser,Qn,IA,[IU]/mL,http://loinc.org
23,Anti CMV IgG - IgM,Permintaan & Hasil,Serum,Ordinal,,CMIA,22239-8,Cytomegalovirus Ab [Presence] in Serum or Plasma,Cytomegalovirus Ab,PrThr,Pt,Ser/Plas,Ord,,,http://loinc.org
23,Aviditas IgG Anti CMV,Permintaan & Hasil,Serum,Quantitative,Index,,52984-2,Cytomegalovirus IgG Ab avidity [Ratio] in Serum or Plasma by Immunoassay,Cytomegalovirus Ab.IgG avidity,Ratio,Pt,Ser/Plas,Qn,IA,%,http://loinc.org
23,IgG Anti CMV,Permintaan & Hasil,Serum,Ordinal,,,22244-8,Cytomegalovirus IgG Ab [Presence] in Serum or Plasma,Cytomegalovirus Ab.IgG,PrThr,Pt,Ser/Plas,Ord,,,http://loinc.org
23,Aviditas IgG Anti CMV,Permintaan & Hasil,Serum,Ordinal,,,78445-4,Cytomegalovirus IgG Ab avidity [Presence] in Serum or Plasma by Immunoassay,Cytomegalovirus Ab.IgG avidity,PrThr,Pt,Ser/Plas,Ord,IA,,http://loinc.org
23,IgM Anti CMV,Permintaan & Hasil,Serum,Ordinal,,,30325-5,Cytomegalovirus IgM Ab [Presence] in Serum or Plasma,Cytomegalovirus Ab.IgM,PrThr,Pt,Ser/Plas,Ord,,,http://loinc.org
23,IgG Anti CMV,Permintaan & Hasil,Serum,Quantitative,U/mL,,7852-7,Cytomegalovirus IgG Ab [Units/volume] in Serum or Plasma,Cytomegalovirus Ab.IgG,ACnc,Pt,Ser/Plas,Qn,,[arb'U]/mL,http://loinc.org
23,IgG Anti CMV,Permintaan & Hasil,Serum,Quantitative,U/mL,CMIA,5124-3,Cytomegalovirus IgG Ab [Units/volume] in Serum or Plasma by Immunoassay,Cytomegalovirus Ab.IgG,ACnc,Pt,Ser/Plas,Qn,IA,[arb'U]/mL,http://loinc.org
23,IgM Anti CMV,Permintaan & Hasil,Serum,Quantitative,Indeks,ELFA,5126-8,Cytomegalovirus IgM Ab [Units/volume] in Serum or Plasma by Immunoassay,Cytomegalovirus Ab.IgM,ACnc,Pt,Ser/Plas,Qn,IA,{Index_val},http://loinc.org
23,IgG Anti CMV,Permintaan & Hasil,Serum,Quantitative,U/mL,ECLIA,5124-3,Cytomegalovirus IgG Ab [Units/volume] in Serum or Plasma by Immunoassay,Cytomegalovirus Ab.IgG,ACnc,Pt,Ser/Plas,Qn,IA,[arb'U]/mL,http://loinc.org
23,IgM Anti CMV,Permintaan & Hasil,Serum,Quantitative,Indeks,ECLIA,5126-8,Cytomegalovirus IgM Ab [Units/volume] in Serum or Plasma by Immunoassay,Cytomegalovirus Ab.IgM,ACnc,Pt,Ser/Plas,Qn,IA,{Index_val},http://loinc.org
