Nomor,Kategori Pemeriksaan ,Spesimen ,Nama Pemeriksaan ,Permintaan/Hasil,Tipe Hasil Pemeriksaan,Kode ,Nama Pemeriksaan ,Code System ,Version First Released (DTO),Version Last Changed (DTO),First Released Date,Last Changed Date
106,Histokimia ,Jaringan hepatobilier dan pankreas ,Histokimia Pemeriksaan Alcian Blue jaringan hepatobilier dan pankreas ,Permintaan & Hasil,Naratif ,PA099501,Histokimia Pemeriksaan Alcian Blue jaringan hepatobilier dan pankreas ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
107,Histokimia ,Jaringan muskuloskeletal ,Histokimia Pemeriksaan Alcian Blue jaringan muskuloskeletal ,Permintaan & Hasil,Naratif ,PA099502,Histokimia Pemeriksaan Alcian Blue jaringan muskuloskeletal ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
108,Histokimia ,Jaringan kulit ,Histokimia Pemeriksaan Alcian Blue jaringan kulit ,Permintaan & Hasil,Naratif ,PA099503,Histokimia Pemeriksaan Alcian Blue jaringan kulit ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
109,Histokimia ,Jaringan payudara ,Histokimia Pemeriksaan Alcian Blue jaringan payudara ,Permintaan & Hasil,Naratif ,PA099504,Histokimia Pemeriksaan Alcian Blue jaringan payudara ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
110,Histokimia ,Jaringan endokrin ,Histokimia Pemeriksaan Alcian Blue jaringan endokrin ,Permintaan & Hasil,Naratif ,PA099505,Histokimia Pemeriksaan Alcian Blue jaringan endokrin ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
111,Histokimia ,Jaringan nefrourinaria ,Histokimia Pemeriksaan Alcian Blue jaringan nefrourinaria ,Permintaan & Hasil,Naratif ,PA099506,Histokimia Pemeriksaan Alcian Blue jaringan nefrourinaria ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
112,Histokimia ,Jaringan genitalia pria ,Histokimia Pemeriksaan Alcian Blue jaringan genitalia pria ,Permintaan & Hasil,Naratif ,PA099507,Histokimia Pemeriksaan Alcian Blue jaringan genitalia pria ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
113,Histokimia ,Jaringan genitalia wanita ,Histokimia Pemeriksaan Alcian Blue jaringan genitalia wanita ,Permintaan & Hasil,Naratif ,PA099508,Histokimia Pemeriksaan Alcian Blue jaringan genitalia wanita ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
114,Histokimia ,Jaringan hematopoetic ,Histokimia Pemeriksaan Alcian Blue jaringan hematopoetic ,Permintaan & Hasil,Naratif ,PA099509,Histokimia Pemeriksaan Alcian Blue jaringan hematopoetic ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
115,Histokimia ,Jaringan retikuloendotelial ,Histokimia Pemeriksaan Alcian Blue jaringan retikuloendotelial,Permintaan & Hasil,Naratif ,PA099510,Histokimia Pemeriksaan Alcian Blue jaringan retikuloendotelial,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
116,Histokimia ,Jaringan lainnya ,Histokimia Pemeriksaan Alcian Blue jaringan lainnya,Permintaan & Hasil,Naratif ,PA099511,Histokimia Pemeriksaan Alcian Blue jaringan lainnya,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
117,Histokimia ,Jaringan sistem saraf pusat,Histokimia Pemeriksaan Giemsa jaringan sistem saraf pusat,Permintaan & Hasil,Naratif ,PA099512,Histokimia Pemeriksaan Giemsa jaringan sistem saraf pusat,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
118,Histokimia ,Jaringan mata dan adneksa ,Histokimia Pemeriksaan Giemsa jaringan mata dan adneksa ,Permintaan & Hasil,Naratif ,PA099513,Histokimia Pemeriksaan Giemsa jaringan mata dan adneksa ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
119,Histokimia ,"Jaringan telinga, hidung, mulut ","Histokimia Pemeriksaan Giemsa jaringan telinga, hidung, mulut ",Permintaan & Hasil,Naratif ,PA099514,"Histokimia Pemeriksaan Giemsa jaringan telinga, hidung, mulut ",http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
120,Histokimia ,Jaringan respiratori ,Histokimia Pemeriksaan Giemsa jaringan respiratori ,Permintaan & Hasil,Naratif ,PA099515,Histokimia Pemeriksaan Giemsa jaringan respiratori ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
121,Histokimia ,Jaringan kardiovaskular ,Histokimia Pemeriksaan Giemsa jaringan kardiovaskular ,Permintaan & Hasil,Naratif ,PA099516,Histokimia Pemeriksaan Giemsa jaringan kardiovaskular ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
122,Histokimia ,Jaringan gastrointestinal ,Histokimia Pemeriksaan Giemsa jaringan gastrointestinal ,Permintaan & Hasil,Naratif ,PA099517,Histokimia Pemeriksaan Giemsa jaringan gastrointestinal ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
123,Histokimia ,Jaringan hepatobilier dan pankreas ,Histokimia Pemeriksaan Giemsa jaringan hepatobilier dan pankreas ,Permintaan & Hasil,Naratif ,PA099518,Histokimia Pemeriksaan Giemsa jaringan hepatobilier dan pankreas ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
124,Histokimia ,Jaringan muskuloskeletal ,Histokimia Pemeriksaan Giemsa jaringan muskuloskeletal ,Permintaan & Hasil,Naratif ,PA099519,Histokimia Pemeriksaan Giemsa jaringan muskuloskeletal ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
125,Histokimia ,Jaringan kulit ,Histokimia Pemeriksaan Giemsa jaringan kulit ,Permintaan & Hasil,Naratif ,PA099520,Histokimia Pemeriksaan Giemsa jaringan kulit ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
126,Histokimia ,Jaringan payudara ,Histokimia Pemeriksaan Giemsa jaringan payudara ,Permintaan & Hasil,Naratif ,PA099521,Histokimia Pemeriksaan Giemsa jaringan payudara ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
127,Histokimia ,Jaringan endokrin ,Histokimia Pemeriksaan Giemsa jaringan endokrin ,Permintaan & Hasil,Naratif ,PA099522,Histokimia Pemeriksaan Giemsa jaringan endokrin ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
128,Histokimia ,Jaringan nefrourinaria ,Histokimia Pemeriksaan Giemsa jaringan nefrourinaria ,Permintaan & Hasil,Naratif ,PA099523,Histokimia Pemeriksaan Giemsa jaringan nefrourinaria ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
129,Histokimia ,Jaringan genitalia pria ,Histokimia Pemeriksaan Giemsa jaringan genitalia pria ,Permintaan & Hasil,Naratif ,PA099524,Histokimia Pemeriksaan Giemsa jaringan genitalia pria ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
130,Histokimia ,Jaringan genitalia wanita ,Histokimia Pemeriksaan Giemsa jaringan genitalia wanita ,Permintaan & Hasil,Naratif ,PA099525,Histokimia Pemeriksaan Giemsa jaringan genitalia wanita ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
131,Histokimia ,Jaringan hematopoetic ,Histokimia Pemeriksaan Giemsa jaringan hematopoetic ,Permintaan & Hasil,Naratif ,PA099526,Histokimia Pemeriksaan Giemsa jaringan hematopoetic ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
132,Histokimia ,Jaringan retikuloendotelial,Histokimia Pemeriksaan Giemsa jaringan retikuloendotelial,Permintaan & Hasil,Naratif ,PA099527,Histokimia Pemeriksaan Giemsa jaringan retikuloendotelial,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
133,Histokimia ,Jaringan lainnya ,Histokimia Pemeriksaan Giemsa jaringan lainnya,Permintaan & Hasil,Naratif ,PA099528,Histokimia Pemeriksaan Giemsa jaringan lainnya,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
134,Histokimia ,Jaringan sistem saraf pusat,Histokimia Pemeriksaan Ziehl Nielsen jaringan sistem saraf pusat,Permintaan & Hasil,Naratif ,PA099529,Histokimia Pemeriksaan Ziehl Nielsen jaringan sistem saraf pusat,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
135,Histokimia ,Jaringan mata dan adneksa ,Histokimia Pemeriksaan Ziehl Nielsen jaringan sistem saraf pusat,Permintaan & Hasil,Naratif ,PA099530,Histokimia Pemeriksaan Ziehl Nielsen jaringan sistem saraf pusat,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
136,Histokimia ,"Jaringan telinga, hidung, mulut ",Histokimia Pemeriksaan Ziehl Nielsen jaringan sistem saraf pusat,Permintaan & Hasil,Naratif ,PA099531,Histokimia Pemeriksaan Ziehl Nielsen jaringan sistem saraf pusat,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
137,Histokimia ,Jaringan respiratori ,Histokimia Pemeriksaan Ziehl Nielsen jaringan respiratori ,Permintaan & Hasil,Naratif ,PA099532,Histokimia Pemeriksaan Ziehl Nielsen jaringan respiratori ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
138,Histokimia ,Jaringan kardiovaskular ,Histokimia Pemeriksaan Ziehl Nielsen jaringan kardiovaskular ,Permintaan & Hasil,Naratif ,PA099533,Histokimia Pemeriksaan Ziehl Nielsen jaringan kardiovaskular ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
139,Histokimia ,Jaringan gastrointestinal ,Histokimia Pemeriksaan Ziehl Nielsen jaringan gastrointestinal ,Permintaan & Hasil,Naratif ,PA099534,Histokimia Pemeriksaan Ziehl Nielsen jaringan gastrointestinal ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
140,Histokimia ,Jaringan hepatobilier dan pankreas ,Histokimia Pemeriksaan Ziehl Nielsen jaringan hepatobilier dan pankreas ,Permintaan & Hasil,Naratif ,PA099535,Histokimia Pemeriksaan Ziehl Nielsen jaringan hepatobilier dan pankreas ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
141,Histokimia ,Jaringan muskuloskeletal ,Histokimia Pemeriksaan Ziehl Nielsen jaringan muskuloskeletal ,Permintaan & Hasil,Naratif ,PA099536,Histokimia Pemeriksaan Ziehl Nielsen jaringan muskuloskeletal ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
142,Histokimia ,Jaringan kulit ,Histokimia Pemeriksaan Ziehl Nielsen jaringan kulit ,Permintaan & Hasil,Naratif ,PA099537,Histokimia Pemeriksaan Ziehl Nielsen jaringan kulit ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
143,Histokimia ,Jaringan payudara ,Histokimia Pemeriksaan Ziehl Nielsen jaringan payudara ,Permintaan & Hasil,Naratif ,PA099538,Histokimia Pemeriksaan Ziehl Nielsen jaringan payudara ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
144,Histokimia ,Jaringan endokrin ,Histokimia Pemeriksaan Ziehl Nielsen jaringan endokrin ,Permintaan & Hasil,Naratif ,PA099539,Histokimia Pemeriksaan Ziehl Nielsen jaringan endokrin ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
145,Histokimia ,Jaringan nefrourinaria ,Histokimia Pemeriksaan Ziehl Nielsen jaringan nefrourinaria ,Permintaan & Hasil,Naratif ,PA099540,Histokimia Pemeriksaan Ziehl Nielsen jaringan nefrourinaria ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
146,Histokimia ,Jaringan genitalia pria ,Histokimia Pemeriksaan Ziehl Nielsen jaringan genitalia pria ,Permintaan & Hasil,Naratif ,PA099541,Histokimia Pemeriksaan Ziehl Nielsen jaringan genitalia pria ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
147,Histokimia ,Jaringan genitalia wanita ,Histokimia Pemeriksaan Ziehl Nielsen jaringan genitalia wanita ,Permintaan & Hasil,Naratif ,PA099542,Histokimia Pemeriksaan Ziehl Nielsen jaringan genitalia wanita ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
148,Histokimia ,Jaringan hematopoetic ,Histokimia Pemeriksaan Ziehl Nielsen jaringan hematopoetic ,Permintaan & Hasil,Naratif ,PA099543,Histokimia Pemeriksaan Ziehl Nielsen jaringan hematopoetic ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
149,Histokimia ,Jaringan retikuloendotelial,Histokimia Pemeriksaan Ziehl Nielsen jaringan retikuloendotelial,Permintaan & Hasil,Naratif ,PA099544,Histokimia Pemeriksaan Ziehl Nielsen jaringan retikuloendotelial,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
150,Histokimia ,Jaringan lainnya ,Histokimia Pemeriksaan Ziehl Nielsen jaringan lainnya,Permintaan & Hasil,Naratif ,PA099545,Histokimia Pemeriksaan Ziehl Nielsen jaringan lainnya,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
151,Histokimia ,Jaringan sistem saraf pusat,Histokimia Pemeriksaan Trichrome jaringan sistem saraf pusat,Permintaan & Hasil,Naratif ,PA099546,Histokimia Pemeriksaan Trichrome jaringan sistem saraf pusat,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
152,Histokimia ,Jaringan mata dan adneksa ,Histokimia Pemeriksaan Trichrome jaringan mata dan adneksa ,Permintaan & Hasil,Naratif ,PA099547,Histokimia Pemeriksaan Trichrome jaringan mata dan adneksa ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
153,Histokimia ,"Jaringan telinga, hidung, mulut ","Histokimia Pemeriksaan Trichrome jaringan telinga, hidung, mulut ",Permintaan & Hasil,Naratif ,PA099548,"Histokimia Pemeriksaan Trichrome jaringan telinga, hidung, mulut ",http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
154,Histokimia ,Jaringan respiratori ,Histokimia Pemeriksaan Trichrome jaringan respiratori ,Permintaan & Hasil,Naratif ,PA099549,Histokimia Pemeriksaan Trichrome jaringan respiratori ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
155,Histokimia ,Jaringan kardiovaskular ,Histokimia Pemeriksaan Trichrome jaringan kardiovaskular ,Permintaan & Hasil,Naratif ,PA099550,Histokimia Pemeriksaan Trichrome jaringan kardiovaskular ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
156,Histokimia ,Jaringan gastrointestinal ,Histokimia Pemeriksaan Trichrome jaringan gastrointestinal ,Permintaan & Hasil,Naratif ,PA099551,Histokimia Pemeriksaan Trichrome jaringan gastrointestinal ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
157,Histokimia ,Jaringan hepatobilier dan pankreas ,Histokimia Pemeriksaan Trichrome jaringan hepatobilier dan pankreas ,Permintaan & Hasil,Naratif ,PA099552,Histokimia Pemeriksaan Trichrome jaringan hepatobilier dan pankreas ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
158,Histokimia ,Jaringan muskuloskeletal ,Histokimia Pemeriksaan Trichrome jaringan muskuloskeletal ,Permintaan & Hasil,Naratif ,PA099553,Histokimia Pemeriksaan Trichrome jaringan muskuloskeletal ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
159,Histokimia ,Jaringan kulit ,Histokimia Pemeriksaan Trichrome jaringan kulit ,Permintaan & Hasil,Naratif ,PA099554,Histokimia Pemeriksaan Trichrome jaringan kulit ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
160,Histokimia ,Jaringan payudara ,Histokimia Pemeriksaan Trichrome jaringan payudara ,Permintaan & Hasil,Naratif ,PA099555,Histokimia Pemeriksaan Trichrome jaringan payudara ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
161,Histokimia ,Jaringan endokrin ,Histokimia Pemeriksaan Trichrome jaringan endokrin ,Permintaan & Hasil,Naratif ,PA099556,Histokimia Pemeriksaan Trichrome jaringan endokrin ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
162,Histokimia ,Jaringan nefrourinaria ,Histokimia Pemeriksaan Trichrome jaringan nefrourinaria ,Permintaan & Hasil,Naratif ,PA099557,Histokimia Pemeriksaan Trichrome jaringan nefrourinaria ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
163,Histokimia ,Jaringan genitalia pria ,Histokimia Pemeriksaan Trichrome jaringan genitalia pria ,Permintaan & Hasil,Naratif ,PA099558,Histokimia Pemeriksaan Trichrome jaringan genitalia pria ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
164,Histokimia ,Jaringan genitalia wanita ,Histokimia Pemeriksaan Trichrome jaringan genitalia wanita ,Permintaan & Hasil,Naratif ,PA099559,Histokimia Pemeriksaan Trichrome jaringan genitalia wanita ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
165,Histokimia ,Jaringan hematopoetic ,Histokimia Pemeriksaan Trichrome jaringan hematopoetic ,Permintaan & Hasil,Naratif ,PA099560,Histokimia Pemeriksaan Trichrome jaringan hematopoetic ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
166,Histokimia ,Jaringan retikuloendotelial,Histokimia Pemeriksaan Trichrome jaringan retikuloendotelial,Permintaan & Hasil,Naratif ,PA099561,Histokimia Pemeriksaan Trichrome jaringan retikuloendotelial,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
167,Histokimia ,Jaringan lainnya ,Histokimia Pemeriksaan Trichrome jaringan lainnya,Permintaan & Hasil,Naratif ,PA099562,Histokimia Pemeriksaan Trichrome jaringan lainnya,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
168,Histokimia ,Jaringan sistem saraf pusat,Histokimia Pemeriksaan Retikulin jaringan sistem saraf pusat,Permintaan & Hasil,Naratif ,PA099563,Histokimia Pemeriksaan Retikulin jaringan sistem saraf pusat,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
169,Histokimia ,Jaringan mata dan adneksa ,Histokimia Pemeriksaan Retikulin jaringan mata dan adneksa ,Permintaan & Hasil,Naratif ,PA099564,Histokimia Pemeriksaan Retikulin jaringan mata dan adneksa ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
170,Histokimia ,"Jaringan telinga, hidung, mulut ","Histokimia Pemeriksaan Retikulin jaringan telinga, hidung, mulut ",Permintaan & Hasil,Naratif ,PA099565,"Histokimia Pemeriksaan Retikulin jaringan telinga, hidung, mulut ",http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
171,Histokimia ,Jaringan respiratori ,Histokimia Pemeriksaan Retikulin jaringan respiratori ,Permintaan & Hasil,Naratif ,PA099566,Histokimia Pemeriksaan Retikulin jaringan respiratori ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
172,Histokimia ,Jaringan kardiovaskular ,Histokimia Pemeriksaan Retikulin jaringan kardiovaskular ,Permintaan & Hasil,Naratif ,PA099567,Histokimia Pemeriksaan Retikulin jaringan kardiovaskular ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
173,Histokimia ,Jaringan gastrointestinal ,Histokimia Pemeriksaan Retikulin jaringan gastrointestinal ,Permintaan & Hasil,Naratif ,PA099568,Histokimia Pemeriksaan Retikulin jaringan gastrointestinal ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
174,Histokimia ,Jaringan hepatobilier dan pankreas ,Histokimia Pemeriksaan Retikulin jaringan hepatobilier dan pankreas ,Permintaan & Hasil,Naratif ,PA099569,Histokimia Pemeriksaan Retikulin jaringan hepatobilier dan pankreas ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
175,Histokimia ,Jaringan muskuloskeletal ,Histokimia Pemeriksaan Retikulin jaringan muskuloskeletal ,Permintaan & Hasil,Naratif ,PA099570,Histokimia Pemeriksaan Retikulin jaringan muskuloskeletal ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
176,Histokimia ,Jaringan kulit ,Histokimia Pemeriksaan Retikulin jaringan kulit ,Permintaan & Hasil,Naratif ,PA099571,Histokimia Pemeriksaan Retikulin jaringan kulit ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
177,Histokimia ,Jaringan payudara ,Histokimia Pemeriksaan Retikulin jaringan payudara ,Permintaan & Hasil,Naratif ,PA099572,Histokimia Pemeriksaan Retikulin jaringan payudara ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
178,Histokimia ,Jaringan endokrin ,Histokimia Pemeriksaan Retikulin jaringan endokrin ,Permintaan & Hasil,Naratif ,PA099573,Histokimia Pemeriksaan Retikulin jaringan endokrin ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
179,Histokimia ,Jaringan nefrourinaria ,Histokimia Pemeriksaan Retikulin jaringan nefrourinaria ,Permintaan & Hasil,Naratif ,PA099574,Histokimia Pemeriksaan Retikulin jaringan nefrourinaria ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
180,Histokimia ,Jaringan genitalia pria ,Histokimia Pemeriksaan Retikulin jaringan genitalia pria ,Permintaan & Hasil,Naratif ,PA099575,Histokimia Pemeriksaan Retikulin jaringan genitalia pria ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
181,Histokimia ,Jaringan genitalia wanita ,Histokimia Pemeriksaan Retikulin jaringan genitalia wanita ,Permintaan & Hasil,Naratif ,PA099576,Histokimia Pemeriksaan Retikulin jaringan genitalia wanita ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
182,Histokimia ,Jaringan hematopoetic ,Histokimia Pemeriksaan Retikulin jaringan hematopoetic ,Permintaan & Hasil,Naratif ,PA099577,Histokimia Pemeriksaan Retikulin jaringan hematopoetic ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
183,Histokimia ,Jaringan retikuloendotelial,Histokimia Pemeriksaan Retikulin jaringan retikuloendotelial,Permintaan & Hasil,Naratif ,PA099578,Histokimia Pemeriksaan Retikulin jaringan retikuloendotelial,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
184,Histokimia ,Jaringan lainnya ,Histokimia Pemeriksaan Retikulin jaringan lainnya,Permintaan & Hasil,Naratif ,PA099579,Histokimia Pemeriksaan Retikulin jaringan lainnya,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
185,Histokimia ,Jaringan sistem saraf pusat,Histokimia Pemeriksaan Fite Faraco jaringan sistem saraf pusat,Permintaan & Hasil,Naratif ,PA099580,Histokimia Pemeriksaan Fite Faraco jaringan sistem saraf pusat,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
186,Histokimia ,Jaringan mata dan adneksa ,Histokimia Pemeriksaan Fite Faraco jaringan mata dan adneksa ,Permintaan & Hasil,Naratif ,PA099581,Histokimia Pemeriksaan Fite Faraco jaringan mata dan adneksa ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
187,Histokimia ,"Jaringan telinga, hidung, mulut ","Histokimia Pemeriksaan Fite Faraco jaringan telinga, hidung, mulut ",Permintaan & Hasil,Naratif ,PA099582,"Histokimia Pemeriksaan Fite Faraco jaringan telinga, hidung, mulut ",http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
188,Histokimia ,Jaringan respiratori ,Histokimia Pemeriksaan Fite Faraco jaringan respiratori ,Permintaan & Hasil,Naratif ,PA099583,Histokimia Pemeriksaan Fite Faraco jaringan respiratori ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
189,Histokimia ,Jaringan kardiovaskular ,Histokimia Pemeriksaan Fite Faraco jaringan kardiovaskular ,Permintaan & Hasil,Naratif ,PA099584,Histokimia Pemeriksaan Fite Faraco jaringan kardiovaskular ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
190,Histokimia ,Jaringan gastrointestinal ,Histokimia Pemeriksaan Fite Faraco jaringan gastrointestinal ,Permintaan & Hasil,Naratif ,PA099585,Histokimia Pemeriksaan Fite Faraco jaringan gastrointestinal ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
191,Histokimia ,Jaringan hepatobilier dan pankreas ,Histokimia Pemeriksaan Fite Faraco jaringan hepatobilier dan pankreas ,Permintaan & Hasil,Naratif ,PA099586,Histokimia Pemeriksaan Fite Faraco jaringan hepatobilier dan pankreas ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
192,Histokimia ,Jaringan muskuloskeletal ,Histokimia Pemeriksaan Fite Faraco jaringan muskuloskeletal ,Permintaan & Hasil,Naratif ,PA099587,Histokimia Pemeriksaan Fite Faraco jaringan muskuloskeletal ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
193,Histokimia ,Jaringan kulit ,Histokimia Pemeriksaan Fite Faraco jaringan kulit ,Permintaan & Hasil,Naratif ,PA099588,Histokimia Pemeriksaan Fite Faraco jaringan kulit ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
194,Histokimia ,Jaringan payudara ,Histokimia Pemeriksaan Fite Faraco jaringan payudara ,Permintaan & Hasil,Naratif ,PA099589,Histokimia Pemeriksaan Fite Faraco jaringan payudara ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
